"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Brassica rapa",6,7,7,8,9,12,15,19,21,24,27,24,21,16,9,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,3,3,3,4,2,2,2,2,1,"Brassica rapa"
"Sisymbrium officinale",2,2,2,1,2,3,3,5,7,10,9,9,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,3,3,4,4,4,"Sisymbrium officinale"
"Trapa natans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,6,6,"Trapa natans"
"Echinochloa crus-galli",5,8,10,9,8,10,10,11,14,53,78,78,78,77,42,8,6,4,12,12,10,12,12,3,3,3,1,1,NA,NA,NA,1,2,3,5,5,5,9,8,6,6,5,NA,NA,4,11,16,19,20,26,20,"Echinochloa crus-galli"
"Agrilus planipennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,6,6,11,19,28,29,37,42,"Agrilus planipennis"
"Tinca tinca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,7,8,9,10,10,"Tinca tinca"
"Ameiurus nebulosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,2,2,1,2,5,8,12,15,24,32,40,50,64,58,"Ameiurus nebulosus"
"Persicaria persicaria",8,9,14,13,13,19,25,21,29,68,79,78,80,75,42,19,15,19,15,16,14,14,8,10,7,7,6,5,4,3,7,6,8,8,8,4,4,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Persicaria persicaria"
"Chenopodium album",NA,NA,NA,NA,NA,NA,NA,NA,16,55,88,104,113,109,78,42,25,20,13,12,10,9,2,2,3,3,7,6,6,5,8,3,3,6,8,7,7,9,5,4,4,4,3,3,9,22,33,42,48,51,41,"Chenopodium album"
"Digitaria ischaemum",6,9,10,10,11,9,6,9,17,131,154,154,150,143,47,3,3,3,2,2,2,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,2,5,4,5,10,9,"Digitaria ischaemum"
"Myriophyllum spicatum",1,11,10,11,12,17,7,7,6,7,3,6,7,8,6,7,5,5,4,5,3,1,1,2,1,2,3,3,4,4,3,2,2,15,15,15,15,16,2,2,2,3,6,6,12,16,20,24,29,31,28,"Myriophyllum spicatum"
"Acorus calamus",5,7,7,6,6,5,3,5,5,4,4,3,1,2,2,2,3,3,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,1,NA,NA,NA,NA,NA,1,1,2,3,3,2,3,3,2,5,5,"Acorus calamus"
"Lepomis gibbosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,3,4,7,8,11,15,25,39,57,77,94,114,105,"Lepomis gibbosus"
"Galinsoga ciliata",1,1,3,3,7,9,10,11,20,41,44,43,41,32,13,3,3,1,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galinsoga ciliata"
"Agrostis gigantea",5,7,8,8,6,5,4,7,7,21,31,31,28,27,16,2,1,2,5,4,4,4,3,NA,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,3,4,4,3,4,4,3,4,4,13,12,"Agrostis gigantea"
"Stachys palustris",6,8,8,9,9,9,8,8,6,5,6,8,7,6,6,4,2,2,2,2,2,2,1,2,2,3,2,3,4,3,2,2,2,1,1,1,1,1,2,4,4,5,5,7,7,12,15,24,26,27,24,"Stachys palustris"
"Esox lucius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,5,6,9,11,11,9,19,25,35,44,55,54,63,56,"Esox lucius"
"Veronica filiformis",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,6,6,5,"Veronica filiformis"
"Cannabis sativa",NA,NA,1,1,1,1,1,NA,1,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,5,5,"Cannabis sativa"
"Galium verum",NA,NA,NA,NA,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,3,3,2,2,2,2,1,4,3,4,5,5,"Galium verum"
"Viburnum lantana",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,1,3,3,3,4,8,12,20,25,29,30,"Viburnum lantana"
"Vicia sepium",3,3,2,1,1,1,2,3,3,5,5,3,2,2,NA,NA,NA,1,2,2,2,2,1,NA,2,3,3,3,3,3,2,3,4,4,3,3,2,3,3,3,2,3,3,2,1,3,5,12,15,24,23,"Vicia sepium"
"Filipendula ulmaria",3,3,NA,1,1,1,2,3,3,3,5,4,4,4,4,3,3,2,2,2,NA,1,1,2,4,4,3,3,2,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,3,3,7,11,17,17,19,16,"Filipendula ulmaria"
"Esox niger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,2,3,3,3,2,2,2,3,5,5,"Esox niger"
"Digitalis purpurea",NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,10,12,22,26,20,"Digitalis purpurea"
"Melissa officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,10,14,14,"Melissa officinalis"
"Caragana arborescens",2,2,2,2,2,1,2,2,1,1,1,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,3,7,11,30,38,38,"Caragana arborescens"
"Potentilla reptans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,2,3,2,"Potentilla reptans"
"Pulmonaria officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,17,18,19,20,14,"Pulmonaria officinalis"
"Carabus granulatus",NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,2,2,2,2,2,1,1,1,1,1,2,3,7,13,17,21,33,38,38,"Carabus granulatus"
"Symphytum officinale",3,3,2,2,2,1,1,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,2,1,1,3,5,6,8,9,15,20,28,32,39,38,"Symphytum officinale"
"Trifolium campestre",1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,5,16,21,33,56,69,62,"Trifolium campestre"
"Salticus scenicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,6,9,10,12,22,54,76,91,100,98,"Salticus scenicus"
"Scardinius erythrophthalmus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,5,5,"Scardinius erythrophthalmus"
"Prunus padus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,3,3,3,4,4,3,5,6,7,9,9,"Prunus padus"
"Veronica longifolia",3,3,3,1,1,1,2,2,2,3,3,2,2,2,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,2,1,2,1,1,1,1,3,4,4,8,17,16,24,30,26,"Veronica longifolia"
"Veronica arvensis",1,1,1,1,1,2,2,2,2,3,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,3,2,1,2,3,4,6,11,11,"Veronica arvensis"
"Inula helenium",NA,1,1,1,1,1,NA,NA,3,3,4,4,4,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,1,2,2,2,2,2,1,1,1,1,NA,NA,1,1,2,4,4,4,6,7,11,14,18,17,18,15,"Inula helenium"
"Setaria faberi",NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,5,18,31,29,28,30,18,8,8,8,4,4,2,2,2,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,2,1,2,2,4,4,16,16,18,20,19,"Setaria faberi"
"Acer platanoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,34,42,57,59,"Acer platanoides"
"Quercus robur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,7,9,14,15,"Quercus robur"
"Persicaria maculosa",7,7,6,4,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,1,2,2,4,4,3,3,5,4,5,7,7,6,6,10,20,40,42,49,63,53,"Persicaria maculosa"
"Scilla siberica",NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,3,4,5,7,12,20,32,42,49,57,"Scilla siberica"
"Ornithogalum umbellatum",NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,3,6,8,8,"Ornithogalum umbellatum"
"Lobularia maritima",NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,4,6,5,"Lobularia maritima"
"Dreissena polymorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,1,1,5,7,9,12,13,"Dreissena polymorpha"
"Senecio vulgaris",3,4,5,5,7,8,9,12,13,14,16,16,11,13,10,7,6,5,4,4,4,5,5,3,2,1,1,1,1,1,1,2,3,3,3,3,1,2,2,4,6,8,7,7,6,8,6,11,13,15,14,"Senecio vulgaris"
"Solanum tuberosum",1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,4,6,6,"Solanum tuberosum"
"Foeniculum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,"Foeniculum vulgare"
"Centaurea montana",1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,5,3,4,9,15,19,22,31,26,"Centaurea montana"
"Erucastrum gallicum",6,6,5,4,6,9,8,9,12,17,16,17,17,13,5,3,2,2,2,3,2,2,1,1,NA,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,5,5,7,8,8,13,19,21,25,24,"Erucastrum gallicum"
"Galanthus nivalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,7,8,9,10,"Galanthus nivalis"
"Aesculus hippocastanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,2,3,4,6,11,17,24,25,31,30,"Aesculus hippocastanum"
"Rheum rhabarbarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,2,2,3,3,5,3,"Rheum rhabarbarum"
"Convolvulus arvensis",NA,1,1,1,1,3,3,7,8,10,11,12,8,6,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,2,2,2,2,4,2,2,7,11,16,22,29,28,26,"Convolvulus arvensis"
"Fagopyrum esculentum",NA,NA,NA,NA,1,1,1,2,4,4,11,11,10,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,2,3,7,7,8,7,6,"Fagopyrum esculentum"
"Sonchus asper",5,5,6,3,2,4,5,4,7,19,21,19,19,17,8,1,1,1,1,3,3,4,4,3,1,1,NA,NA,NA,1,5,6,7,8,8,4,4,6,5,4,4,5,3,4,6,9,18,29,34,35,34,"Sonchus asper"
"Rudbeckia triloba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,8,8,8,8,4,"Rudbeckia triloba"
"Lepidium ruderale",NA,NA,1,1,1,2,3,2,6,10,10,8,8,4,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,"Lepidium ruderale"
"Streptopelia decaocto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,2,1,1,1,1,NA,NA,"Streptopelia decaocto"
"Sus scrofa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,"Sus scrofa"
"Brassica nigra",2,2,2,2,1,2,4,4,6,9,8,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,1,1,1,1,NA,"Brassica nigra"
"Rumex longifolius",2,2,3,3,3,2,3,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,1,2,2,3,3,2,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,"Rumex longifolius"
"Cheiracanthium mildei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5,13,14,18,21,20,"Cheiracanthium mildei"
"Viola odorata",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,11,17,24,25,"Viola odorata"
"Ribes uva-crispa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,5,5,6,5,"Ribes uva-crispa"
"Hippophae rhamnoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,6,11,12,19,21,"Hippophae rhamnoides"
"Echinochloa frumentacea",NA,1,1,1,1,1,NA,1,2,4,5,5,5,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinochloa frumentacea"
"Pristiphora geniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,2,5,5,"Pristiphora geniculata"
"Synageles venator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,"Synageles venator"
"Amara aenea",2,3,4,4,6,5,4,2,2,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,4,8,9,"Amara aenea"
"Stellaria media",6,9,9,5,5,10,9,9,11,16,19,21,22,20,15,6,4,3,3,3,4,3,4,3,4,3,4,3,3,1,1,2,2,2,2,2,2,2,1,1,1,NA,NA,NA,1,1,3,6,7,10,10,"Stellaria media"
"Lapsana communis",4,4,5,4,4,4,4,4,5,6,6,4,3,2,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,1,1,1,1,1,NA,1,2,2,3,5,5,7,9,20,22,28,26,"Lapsana communis"
"Sonchus oleraceus",2,3,3,3,4,5,5,5,6,9,10,10,10,9,6,2,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,4,5,5,5,4,5,5,3,3,3,7,9,13,21,23,20,"Sonchus oleraceus"
"Oncorhynchus mykiss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,4,4,4,4,4,4,5,9,13,12,"Oncorhynchus mykiss"
"Geum urbanum",2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,7,14,14,17,17,16,"Geum urbanum"
"Lunaria annua",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,5,5,6,6,"Lunaria annua"
"Heracleum mantegazzianum",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,3,3,4,3,4,4,6,6,8,11,12,16,15,"Heracleum mantegazzianum"
"Callitriche stagnalis",1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,6,6,6,6,6,2,2,1,1,1,NA,NA,NA,NA,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Callitriche stagnalis"
"Sorghum vulgare",NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sorghum vulgare"
"Morone americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,3,6,7,11,11,11,"Morone americana"
"Digitalis grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,4,3,3,"Digitalis grandiflora"
"Dianthus chinensis",NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,"Dianthus chinensis"
"Cygnus olor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,1,1,3,3,4,6,6,5,5,"Cygnus olor"
"Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,11,16,16,"Cosmos bipinnatus"
"Erysimum hieraciifolium",3,5,5,4,3,2,NA,3,12,13,16,16,14,4,3,NA,NA,NA,2,2,2,2,2,1,1,1,1,2,1,1,5,6,5,5,7,4,2,2,2,NA,2,4,4,4,4,5,11,18,22,23,22,"Erysimum hieraciifolium"
"Pomoxis nigromaculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,2,3,6,8,9,10,10,9,7,"Pomoxis nigromaculatus"
"Coccinella undecimpunctata",1,2,3,3,4,4,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coccinella undecimpunctata"
"Pterostichus melanarius",4,12,15,17,22,21,16,11,9,5,4,6,6,4,2,2,NA,2,2,2,2,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,5,8,8,13,19,23,23,"Pterostichus melanarius"
"Tilia cordata",1,1,1,2,2,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,7,19,25,28,30,28,"Tilia cordata"
"Salix purpurea",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,5,5,6,6,"Salix purpurea"
